SND_studie	SND_dataset	SND_version	Utterance ID No	Utterance	Stance category	second stance category	third	fourth	fifth	Utterance word length			
1037	1	1.0	1	I know what you mean.	agreement/disagreement					5			
1037	1	1.0	2	Yep, we definitely freeze out others opinions, especially if they conflict with our own.	agreement/disagreement	certainty				14			
1037	1	1.0	3	So do I.	agreement/disagreement					3			
1037	1	1.0	4	I don't disagree that the Yes campaign made mistakes, but they must be contextualised within the truly immense opposition they had.	agreement/disagreement	contrariety	necessity			21			
1037	1	1.0	5	That to me is where the real conversions will be made again, during the Indyref2 campaign, just as Taranaich correctly points out they were made during the first campaign.	agreement/disagreement	prediction	source of knowledge			29			
1037	1	1.0	6	Calling Tory government preferable is not my idea of social democracy.	agreement/disagreement					11		mean	21,12782402
1037	1	1.0	7	Granted, it's truly hilarous and inept stuff from the dimmest of BritNats and Stormfront Lite detritus.	agreement/disagreement					16		STD 	8,852332019
1037	1	1.0	8	I differ from that view.	agreement/disagreement					5			
1037	1	1.0	9	Of course, this is far from the dominant narrative we hear in the media.	agreement/disagreement					14			
1037	1	1.0	10	Not to put too fine a point on it, that is a flat-out lie.	agreement/disagreement	certainty				14			
1037	1	1.0	11	But setting them to one side, I agree that between then SNP and the Greens, we can't know the marginal value of a given regional vote.	agreement/disagreement	hypotheticality				26			
1037	1	1.0	12	I won't bother launching into a big explanation, because it's not the central part of your objection.	agreement/disagreement	volition				17			
1037	1	1.0	13	Sorry you can't tell the difference.	agreement/disagreement	tact/rudeness				6			
1037	1	1.0	14	Granted, his party may commit regicide in the process, but the pressure on Cameron to postpone a referendum would be immense.	agreement/disagreement	contrariety	hypotheticality	prediction	uncertainty	21			
1037	1	1.0	15	'They'll trade alright, but any post brexit EU trade agreement will have a stiff price attached as Norway will testify.	agreement/disagreement	source of knowledge				20			
1037	1	1.0	16	I think the risks you enumerate are spot on.	agreement/disagreement	certainty				9			
