Texto	Humanos	Logistic Regression	Naive Bayes	Support Vector Machines	Ensemble
se concentre apenas em ficar vivo, já ouvi isso altos, deve ser importante	1.0	Positivo	Positivo	Positivo	Positivo
@biaddb abraçadinho no motoboy e sem capacete. Foi fantastico	1.0	Positivo	Positivo	Positivo	Positivo
se tivessem lançado o frozen na época que eu era criança eu teria me livrado de vários bulliyng	1.0	Positivo	Positivo	Negativo	Positivo
"a tattoo ""TEEN TOP"" dele eh menos ruim que a do ravi de ""YOLO"" kkkkkkkk"	1.0	Negativo	Positivo	Negativo	Negativo
@HawkonGaming bem loko acabei de zerar warcraft 3 The frozen throne na casa dos meus volegas	1.0	Positivo	Positivo	Positivo	Positivo
#bandsports saretta me deu um autógrafo num torneio no tennis hill há uns 15 anos. Um grande abraço e boa transmissão.	1.0	Positivo	Negativo	Negativo	Negativo
@jornalistavitor Fantástico esse seu jeito poético de definir o caos! Rsrs	1.0	Positivo	Positivo	Negativo	Positivo
To tão feliz por esse sucesso da Fany <3	1.0	Positivo	Positivo	Positivo	Positivo
A de Zelda foi fácil por só ter escolhido as cores, mas eu queria fazer o desenho das que quero em aquarela @.@	1.0	Negativo	Positivo	Positivo	Positivo
meu pai ama star wars, fazao desde pequeno, acompanha twd desde sempre, gosta muito, amo muito ele gente, só fecha cmg	1.0	Positivo	Positivo	Negativo	Positivo
"@cardozo_lari ""Amo muito tudo isso."" hahaha"	1.0	Positivo	Positivo	Negativo	Positivo
Gosto de te ver sorrir, vivo pra ganhar dinheiro....	1.0	Positivo	Positivo	Positivo	Positivo
@whindersson Amo tu ❤ Seu perfeito 😍 Vou te ver aqui Santa Catarina ❤💘💖	1.0	Positivo	Positivo	Negativo	Positivo
Gente, eu amooo a britney com o mario lopezzzzz afff <3	1.0	Positivo	Positivo	Negativo	Positivo
não existe anti larry, existe pessoas que não conhecem produtos boticario   #LarriesDeserveRespect	1.0	Negativo	Negativo	Negativo	Negativo
@Leohstyle viado cê me leva no McDonalds e compra um Big Tasty pra mim uheuehue	1.0	Negativo	Negativo	Negativo	Negativo
Friozinho maravilhoso 💜	1.0	Positivo	Negativo	Positivo	Positivo
"Ouvir um ""eu te amo"" da sua coroa, não tem dinheiro que compra"	1.0	Positivo	Negativo	Negativo	Negativo
Quase todos os jogos do São Paulo na liberta será às 19h30. Já gostei!!!!	1.0	Positivo	Positivo	Negativo	Positivo
@ffecorrea a história da música é continuação de because of you. E eu sou fã da Kelly então pra mim tudo dela é maravilhoso 😂	1.0	Positivo	Positivo	Positivo	Positivo
"@thayzx achei ruim mas tava na minha cabeça falando ""espero que eu encontre ele lá no centro"""	1.0	Negativo	Negativo	Negativo	Negativo
minha crush musical não só me aceitou no facebook como curtiu minh foto de perfil acho que é o início de um belo romance	1.0	Negativo	Negativo	Negativo	Negativo
